,COD_TRAFO,CONSUMO,CONS_PROME,LATITUDE,LONGITUDE,EMPRESA,MES,ANO
173249,5007,50815,50618,5.747816,-72.96309000000001,500,1,2018
173353,500TR1,64118,72713,4.62569512,-74.12130052,2103,1,2018
173598,50200,51264,0,6.2461,-75.5775,564,1,2018
173695,5020TR1,50522,49644,4.7680482,-74.02677567,2103,1,2018
174541,5046,61228,63662,4.7990227,-75.851625,2073,1,2018
174822,50493,72232,0,6.2027,-75.5715,564,1,2018
174904,5050,78389,85794,4.437139,-75.200838,3332,1,2018
175181,506,67485,64253,4.442995,-75.24072199999999,3332,1,2018
175282,5064,51519,49681,4.458533,-75.269796,3332,1,2018
175535,5073TR1,85838,82348,4.75681937,-74.02563147,2103,1,2018
175609,5076TR1,92061,90245,4.757140799999999,-74.02697849,2103,1,2018
175679,507TR1,57676,59951,4.62539202,-74.11880816,2103,1,2018
175851,50870,89465,0,6.8424,-75.1909,564,1,2018
176434,510TR1,69993,71533,4.62358721,-74.12077799,2103,1,2018
176987,513,54000,54916,4.796643,-75.746978,2073,1,2018
177229,513225,52067,0,6.0371,-75.6861,564,1,2018
178155,5163,58514,65348,4.789587,-75.865441,2073,1,2018
178464,51751,84147,0,6.1585,-75.6195,564,1,2018
178965,51913,67453,0,6.2014,-75.5715,564,1,2018
179443,5210,51466,51973,5.748174,-72.956779,500,1,2018
179503,5211,66869,43941,5.747927,-72.95524499999999,500,1,2018
179834,52202,72437,0,6.2084,-75.5724,564,1,2018
179917,52240,80715,0,6.1717,-75.6133,564,1,2018
179933,52248,82038,0,6.1814,-75.5696,564,1,2018
179944,5225582,63338,64972,3.40530756,-76.54087146,2438,1,2018
179977,52272,63725,0,6.2229,-75.5719,564,1,2018
180034,522TR1,76332,68252,4.62619015,-74.12223101,2103,1,2018
180557,52408,70580,0,6.2735,-75.58800000000001,564,1,2018
180826,5251915,77259,80573,3.4963474999999997,-76.51914079,2438,1,2018
181478,52760,91474,0,6.1992,-75.5757,564,1,2018
181821,528TR1,73388,65566,4.62423866,-74.12257249,2103,1,2018
182236,5298041,65560,58227,3.39850631,-76.54373220000001,2438,1,2018
183877,533TR1,57013,60326,4.62022051,-74.11916167,2103,1,2018
184205,5347TR1,78249,73686,4.58700271,-74.16682145,2103,1,2018
184473,535TR1,52480,53932,4.61925278,-74.11945904,2103,1,2018
184558,53618TR1,64086,63892,4.68043436,-74.03966091,2103,1,2018
184599,5363TR1,56342,56581,4.58632833,-74.16871908,2103,1,2018
184725,53713TR1,71911,67214,4.86635802,-74.03561009999999,2103,1,2018
184727,53714TR1,54561,48431,4.86664851,-74.03514887,2103,1,2018
184758,53731TR1,54960,54122,4.73739725,-74.05661875,2103,1,2018
184817,53766TR1,50180,46385,4.70549439,-74.12786433,2103,1,2018
185135,53825TR1,52390,53560,4.61897146,-74.12667831,2103,1,2018
185358,53853,71577,0,6.1999,-75.57600000000001,564,1,2018
185375,53862,90448,0,6.2267,-75.5977,564,1,2018
185529,53935TR1,56754,56036,4.62228144,-74.13230361,2103,1,2018
185600,53971TR1,63714,54354,4.71503012,-74.13397779,2103,1,2018
185681,54009,58546,0,6.2534,-75.5792,564,1,2018
185734,54037TR1,51391,49456,4.75622235,-74.085725,2103,1,2018
185831,54090,77440,0,6.2865,-75.5745,564,1,2018
186169,5419TR2,57600,58107,4.6203477,-74.09683809,2103,1,2018
186170,541TR1,50624,48469,4.62455837,-74.1176101,2103,1,2018
187052,54430,86451,0,6.1971,-75.5601,564,1,2018
187481,54639,63780,0,6.1994,-75.575,564,1,2018
187497,54647,73853,0,6.1968,-75.5588,564,1,2018
188044,54823,57323,0,6.2283,-75.5784,564,1,2018
188129,54869,73920,0,6.3479,-75.5373,564,1,2018
188507,54964,74400,0,6.1717,-75.6047,564,1,2018
189024,55047,60500,0,6.3312,-75.5682,564,1,2018
189236,55167,71485,0,6.2365,-75.5716,564,1,2018
189275,55185TR1,52397,54159,4.65373682,-74.05485919,2103,1,2018
189304,551TR1,65886,71057,4.62665425,-74.1177098,2103,1,2018
189779,55319,88197,0,6.1545,-75.6349,564,1,2018
190607,55580TR1,51386,50152,4.71981833,-73.9678968,2103,1,2018
190765,55669,55475,0,6.2331,-75.5782,564,1,2018
190815,55697,64944,0,6.1989,-75.5742,564,1,2018
190818,55699,60500,0,6.202000000000001,-75.581,564,1,2018
190945,55722,50983,0,6.1735,-75.6031,564,1,2018
191044,55791,62480,0,6.2422,-75.5743,564,1,2018
191158,55827,67320,0,6.2208,-75.5709,564,1,2018
191980,5604TR1,56504,63882,4.62427304,-74.10076801,2103,1,2018
192755,56305,77977,0,6.1879,-75.5887,564,1,2018
193480,56523,79200,0,6.2561,-75.5635,564,1,2018
194900,56957TR1,64778,63638,4.66507966,-74.0582872,2103,1,2018
195240,5709,78694,82076,4.172192,-74.929839,3332,1,2018
195263,5710,60105,115116,4.162654,-74.91534899999999,3332,1,2018
195423,5714,50054,61655,4.149098,-74.897239,3332,1,2018
195680,5722,86377,64049,4.425123999999999,-75.24889,3332,1,2018
196253,57399,54553,0,6.2587,-75.5837,564,1,2018
196313,5742,87279,82394,4.426037,-75.194649,3332,1,2018
196335,5743,76951,80097,4.4254940000000005,-75.189116,3332,1,2018
196371,57448,61824,0,6.3352,-75.5573,564,1,2018
196843,576105,77440,0,6.0395,-75.7709,564,1,2018
197025,576627,50820,0,6.0733,-75.7741,564,1,2018
197318,57782TR1,77740,71407,4.81957659,-74.10248229999999,2103,1,2018
197997,57986TR1,57150,53938,4.74379089,-74.09840857,2103,1,2018
198304,58091,70571,0,6.1512,-75.6287,564,1,2018
198308,58093,67615,0,6.2278,-75.5782,564,1,2018
198357,58103,52089,0,6.2410000000000005,-75.6155,564,1,2018
198473,58157,72409,0,6.2269,-75.5816,564,1,2018
199038,58319,66694,0,6.2487,-75.5694,564,1,2018
199408,58493,50215,0,6.2007,-75.5743,564,1,2018
199848,5864TR1,52978,49289,4.58874679,-74.15360102,2103,1,2018
200376,5881TR1,51180,50420,4.61996554,-74.10507035,2103,1,2018
200419,5884,59972,57869,5.705005,-72.92124799999999,500,1,2018
201563,59042,53460,0,6.231,-75.5795,564,1,2018
201675,591,88809,114151,4.8112855,-75.7680292,2073,1,2018
202022,59214,90683,0,6.2505,-75.5678,564,1,2018
202105,59268TR1,55978,59960,4.68168341,-74.04865406,2103,1,2018
202268,59347,57176,0,6.2001,-75.5759,564,1,2018
202631,59465TR1,64627,102925,4.61452874,-74.13753757,2103,1,2018
203341,59776,79680,0,6.2620000000000005,-75.5715,564,1,2018
203387,59802,62385,0,6.2529,-75.5665,564,1,2018
203540,59836TR1,55580,54141,4.59292652,-74.08879663,2103,1,2018
203857,59906TR1,65869,65437,4.62657919,-74.11836125,2103,1,2018
203970,59967,55151,0,6.0907,-75.64399999999999,564,1,2018
203976,5996TR1,61228,67463,4.63208302,-74.09398705,2103,1,2018
203982,59972,70850,0,6.2196,-75.5795,564,1,2018
204380,5T00021,50341,42147,8.309607000000002,-73.622442,604,1,2018
204397,5T00042,53303,43497,8.308616,-73.619462,604,1,2018
204401,5T00046,55113,51805,8.311867,-73.617243,604,1,2018
204499,5T00161,58213,57085,8.315382000000001,-73.604664,604,1,2018
204958,5T00670,50572,47664,8.309692,-73.61640200000001,604,1,2018
206331,600,56601,56057,2.5606,-72.6311,3076,1,2018
206394,6000576,66125,56523,3.4261678,-76.52243634,2438,1,2018
206601,60077,89400,0,6.1516,-75.6076,564,1,2018
206887,60219,52009,0,6.1884,-75.5979,564,1,2018
206968,60263TR1,73246,72149,4.66280731,-74.08178993,2103,1,2018
207019,60297,73628,0,6.1599,-75.6038,564,1,2018
207043,60301,52768,0,6.2801,-75.5714,564,1,2018
207155,60350TR1,53476,55956,4.66199543,-74.12834619,2103,1,2018
207177,60365TR1,50000,51214,4.62919474,-74.09769008,2103,1,2018
207776,6058,61380,65230,1.611558,-75.611449,1032,1,2018
208472,60751TR1,78480,112760,4.61112939,-74.13546118,2103,1,2018
208553,60834TR1,54666,51491,4.64731282,-74.15981245,2103,1,2018
208630,60896TR1,55048,48975,4.73045014,-74.11563340000001,2103,1,2018
208660,60923TR1,67249,68069,4.66157431,-74.08157564,2103,1,2018
209004,60TA011037,50379,49017,1.80587,-78.766207,520,1,2018
210170,61254TR1,66014,64352,4.57821926,-74.19500238,2103,1,2018
210171,61254TR2,56144,54488,4.57821926,-74.19500238,2103,1,2018
210638,61491TR1,68475,63374,4.66286117,-74.08119061,2103,1,2018
210683,61530TR1,56470,59615,4.63804637,-74.20342829,2103,1,2018
210684,61531TR1,81813,83246,4.63721214,-74.20521764,2103,1,2018
210693,6154,77996,87172,4.449858,-75.229547,3332,1,2018
210704,6155,57115,63453,4.4047529999999995,-75.162595,3332,1,2018
210706,61552TR1,51760,47378,4.60582208,-74.08914842,2103,1,2018
210709,61559TR1,55005,67529,4.65346237,-74.11935018,2103,1,2018
210722,61583TR1,55864,46641,4.73217932,-74.05030246,2103,1,2018
210723,61588TR1,63525,57276,4.66722367,-74.05355686,2103,1,2018
210736,6160,77110,113844,4.414104,-75.17232299999999,3332,1,2018
211000,6182,58495,51172,4.313956,-75.064848,3332,1,2018
211004,61824TR1,51204,49482,4.65076775,-74.15845454,2103,1,2018
212022,62063TR1,50335,51442,4.70102131,-74.04408415,2103,1,2018
212044,62098TR1,58089,52393,4.8507495,-74.06410272,2103,1,2018
212216,62125TR1,57397,60068,4.66100479,-74.12928985,2103,1,2018
212494,6248,57536,54612,5.7518400000000005,-72.949813,500,1,2018
212528,625TR1,54259,55760,4.61454078,-74.10785893,2103,1,2018
213207,633,65491,70230,4.437144,-75.23388800000001,3332,1,2018
