nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
CODENSA S.A. ESP,APOSENTOS,-74.3042814204,5.52452991534,25885009,2103,2020,4,0,96.53,0,0,0,0,0.07,0,0,0,0,0,0,96.6,1
CODENSA S.A. ESP,ZIPACON,-74.3795933564,4.75992897105,25898000,2103,2020,4,73.96,751.53,0,0.15,6.03,0,3.67,0,0,0,0,0,0,835.35,1
CODENSA S.A. ESP,ZIPAQUIRA,-73.9944757558,5.02547142431,25899000,2103,2020,4,25.04,2449.81,0,0.37,0.23,0,0,0,0,0,0,0,0,2475.45,1
CODENSA S.A. ESP,BARANDILLAS,-73.9672515461,5.0253266636,25899002,2103,2020,4,0,1.4,0,0,0,0,0,0,0,0,0,0,0,1.4,1
CODENSA S.A. ESP,PASOANCHO,-73.9795606962,5.00563795539,25899006,2103,2020,4,1.12,48.67,0,0,0,0,36.81,0,0,0,0,0,0,86.6,1
CODENSA S.A. ESP,LOTEO LA PAZ- BOMBA TERPEL- LOTEO SUSAGUA,-73.9817731062,5.02434500981,25899017,2103,2020,4,0,9.5,0,0,0.12,0,0,0,0,0,0,0,0,9.62,1
CODENSA S.A. ESP,PORTACHUELO,-74.0051967851,5.00340278582,25899020,2103,2020,4,9.43,5.09,0,0,0,0,0,0,0,0,0,0,0,14.52,1
CODENSA S.A. ESP,SAN MIGUEL,-73.9578282355,5.03405640271,25899025,2103,2020,4,0,49.54,0,0,0,0,0,0,0,0,0,0,0,49.54,1
CODENSA S.A. ESP,CABUYARO,-72.7919811358,4.28592465004,50124000,2103,2020,4,0,4438.22,0,0,0.1,0,113.53,0,0,0,0,0,0,4551.85,1
CODENSA S.A. ESP,EL CALVARIO,-73.7133268969,4.35261856617,50245000,2103,2020,4,0.08,2.22,0,0,0.7,0,19.6,0,0,0,0,0,0,22.6,1
CODENSA S.A. ESP,SAN JUANITO,-73.6767015182,4.45818278703,50686000,2103,2020,4,0.04,4.18,0,0,0,0,24.21,0,0,0,0,0,0,28.42,1
CODENSA S.A. ESP,COELLO,-74.8984673202,4.28728335548,73200000,2103,2020,4,0.02,152.44,0,0,0,0,0,0,0,0,0,0,0,152.46,1
CODENSA S.A. ESP,FLANDES,-74.8187677213,4.2763717138,73275000,2103,2020,4,18.4,96.77,0,0,6.03,0,1.62,0,0,0,0,0,0,122.83,1
CODENSA S.A. ESP,ICONONZO,-74.5319791006,4.17643908974,73352000,2103,2020,4,23.65,478.52,0,0,82.1,0,879.05,0,0,0,797.3,0,0,2260.62,1
CODENSA S.A. ESP,PIEDRAS,-74.8780727204,4.54390984155,73547000,2103,2020,4,0,0.31,0,0.15,0,0,0,0,0,0,0,0,0,0.46,1
